,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
68,2020/03/25 12:17:21 AM GMT+3,18-20,Стипендия;Зарплата,Сбербанк;Тинькофф;ВТБ,"Пользуюсь, буду продолжать",5.0
69,2020/03/25 12:20:24 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",3.0
70,2020/03/25 12:21:03 AM GMT+3,21-23,Другое,Сбербанк,"Не пользуюсь, не хочу открывать",1.0
71,2020/03/25 12:23:17 AM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",2.0
72,2020/03/25 12:25:17 AM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;Другой,"Не пользуюсь, не хочу открывать",2.0
73,2020/03/25 12:26:16 AM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;ВТБ,"Не пользуюсь, не хочу открывать",4.0
74,2020/03/25 12:26:40 AM GMT+3,меньше,Стипендия,Сбербанк;ВТБ,"Не пользуюсь, не хочу открывать",4.0
75,2020/03/25 12:37:56 AM GMT+3,21-23,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Не пользуюсь, не хочу открывать",1.0
76,2020/03/25 12:40:02 AM GMT+3,21-23,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;Другой,"Не пользуюсь, не хочу открывать",3.0
77,2020/03/25 12:41:50 AM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф;Райффайзен банк,"Не пользуюсь, не хочу открывать",3.0
78,2020/03/25 12:42:19 AM GMT+3,18-20,Стипендия;Зарплата,Сбербанк;ВТБ;Другой,"Пользуюсь, буду продолжать",5.0
79,2020/03/25 12:43:44 AM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",3.0
